experiment_id,scene_id,controller_id,priority,status,raw_file,metrics_file,duration_s,position_rmse_m,max_position_error_m,steady_state_error_m,settling_time_s,disturbance_peak_error_m,disturbance_recovery_time_s,overshoot_max_pct,control_energy,control_smoothness,saturation_ratio,constraint_violation_count,total_health_score,final_trackability_score,formation_score,baseline_experiment,rmse_improvement_pct,health_score_delta,source,evidence_level,notes
official_example1_improved_pid,official_example1,improved_pid,P0,done,results/raw/official_example1_improved_pid.csv,results/official/example1_step/official_example1_improved_pid/metrics/official_example1_improved_pid.json,50,0.26989,1.3694,0.105559,7.16,0.0872591,3.06,4.83132,39927,160908,,65,52.5332,,,official_example1_pid_baseline,1.94838,0.0687583,MWORKS_MCP,real_sysplorer_mcp_full_improved_pid,
official_example1_pid_baseline,official_example1,pid_baseline,P0,done,results/raw/official_example1_pid_baseline.csv,results/official/example1_step/official_example1_pid_baseline/metrics/official_example1_pid_baseline.json,50,0.275253,1.3694,0.111457,7.16,0.0872591,3.18,4.97522,39925,111766,,65,52.4645,,,,,,MWORKS_MCP,real_sysplorer_mcp_full_baseline,
official_example2_improved_pid,official_example2,improved_pid,P0,done,results/raw/official_example2_improved_pid.csv,results/official/example2_helix/official_example2_improved_pid/metrics/official_example2_improved_pid.json,50,0.479834,3.00541,0.190661,6.8,0.275788,2.65,6.23888,37312.6,86192.2,,523,48.0258,,,official_example2_pid_baseline,1.50832,0.14313,MWORKS_MCP,real_sysplorer_mcp_full_improved_pid,
official_example2_pid_baseline,official_example2,pid_baseline,P0,done,results/raw/official_example2_pid_baseline.csv,results/official/example2_helix/official_example2_pid_baseline/metrics/official_example2_pid_baseline.json,50,0.487183,3.00542,0.210149,6.8,0.281514,,6.8511,37306,58929.5,,523,47.8827,,,,,,MWORKS_MCP,real_sysplorer_mcp_full_baseline,
official_example3_improved_pid,official_example3,improved_pid,P0,done,results/raw/official_example3_improved_pid.csv,results/official/example3_figure8/official_example3_improved_pid/metrics/official_example3_improved_pid.json,120,0.167227,1.21703,0.06194,3.59,0.0995799,0,68.5278,95611.2,79889.9,,130,60.5466,,,official_example3_pid_baseline,2.95063,0.0412239,MWORKS_MCP,real_sysplorer_mcp_full_improved_pid,
official_example3_pid_baseline,official_example3,pid_baseline,P0,done,results/raw/official_example3_pid_baseline.csv,results/official/example3_figure8/official_example3_pid_baseline/metrics/official_example3_pid_baseline.json,120,0.172311,1.21703,0.0681717,3.59,0.130217,0,68.5687,95610.2,73046.6,,130,60.5054,,,,,,MWORKS_MCP,real_sysplorer_mcp_full_baseline,
official_example1_awff_pid,official_example1,awff_pid,P1,done,results/raw/official_example1_awff_pid.csv,results/official/example1_step/official_example1_awff_pid/metrics/official_example1_awff_pid.json,50,0.259914,1.24136,0.103229,7.438,0.109984,3.02,4.85956,39906.3,14346.4,,302,52.3347,,,official_example1_enhanced_pid,2.3799,-3.08778,MWORKS_MCP,real_sysplorer_mcp_full_awff_pid,
official_example1_awff_sysblock,official_example1,awff_sysblock,P1,done,results/raw/official_example1_awff_sysblock.csv,results/official/example1_step/official_example1_awff_sysblock/metrics/official_example1_awff_sysblock.json,50,0.266217,1.29716,0.103144,5.75,0.0750094,3.03,4.86141,39896.2,13258.8,,64,55.4232,,,,,,MWORKS_MCP,real_sysplorer_mcp_sysblock_closed_loop_full,
official_example1_enhanced_pid,official_example1,enhanced_pid,P1,done,results/raw/official_example1_enhanced_pid.csv,results/official/example1_step/official_example1_enhanced_pid/metrics/official_example1_enhanced_pid.json,50,0.26625,1.29734,0.103184,5.75,0.0750079,3.03,4.86146,39896.5,13260.7,,64,55.4225,,,official_example1_pid_baseline,3.27058,2.95798,MWORKS_MCP,real_sysplorer_mcp_full_enhanced_pid,
official_example1_l1_residual_sysblock,official_example1,l1_residual_sysblock,P1,done,results/raw/official_example1_l1_residual_sysblock.csv,results/official/example1_step/official_example1_l1_residual_sysblock/metrics/official_example1_l1_residual_sysblock.json,50,0.24807,1.22366,0.0820796,5.72,0.0660264,2.79,4.44745,39907.4,13784.2,,60,55.7823,,,,,,MWORKS_MCP,real_sysplorer_mcp_sysblock_l1_residual_full,
official_example2_awff_pid,official_example2,awff_pid,P1,done,results/official/example2_helix/official_example2_awff_pid/raw/official_example2_awff_pid.csv,results/official/example2_helix/official_example2_awff_pid/metrics/official_example2_awff_pid.json,50,0.486621,3.00562,0.190196,6.864,0.259617,2.384,6.22236,37318.5,64715.9,,2595,47.8493,,,official_example2_enhanced_pid,0.1567,0.0561485,MWORKS_MCP,real_sysplorer_mcp_full_awff_pid,
official_example2_awff_pid_helix_tuned,official_example2,awff_pid,P1,done,results/official/example2_helix/official_example2_awff_pid_helix_tuned/raw/official_example2_awff_pid_helix_tuned.csv,results/official/example2_helix/official_example2_awff_pid_helix_tuned/metrics/official_example2_awff_pid_helix_tuned.json,50,0.474799,3.00666,0.190196,6.864,0.261407,2.292,6.22183,37324.2,77900.2,,2595,47.9431,,,official_example2_improved_pid,1.04934,-0.0826684,MWORKS_MCP,real_sysplorer_mcp_full_awff_pid_helix_tuned,
official_example2_awff_sysblock,official_example2,awff_sysblock,P1,done,results/raw/official_example2_awff_sysblock.csv,results/official/example2_helix/official_example2_awff_sysblock/metrics/official_example2_awff_sysblock.json,50,0.487394,3.0056,0.190196,6.89,0.259634,2.39,6.22232,37305.5,30076.7,,519,47.793,,,,,,MWORKS_MCP,real_sysplorer_mcp_sysblock_closed_loop_full,
official_example2_awff_sysblock_helix_tuned,official_example2,awff_sysblock,P1,done,results/official/example2_helix/official_example2_awff_sysblock_helix_tuned/raw/official_example2_awff_sysblock_helix_tuned.csv,results/official/example2_helix/official_example2_awff_sysblock_helix_tuned/metrics/official_example2_awff_sysblock_helix_tuned.json,50,0.47485,3.00668,0.190196,6.882,0.261379,2.292,6.22183,37310.8,77894.1,,2595,47.9081,,,official_example2_improved_pid,1.03869,-0.117721,MWORKS_MCP,real_sysplorer_mcp_full_awff_sysblock_helix_tuned,
official_example2_enhanced_pid,official_example2,enhanced_pid,P1,done,results/official/example2_helix/official_example2_enhanced_pid/raw/official_example2_enhanced_pid.csv,results/official/example2_helix/official_example2_enhanced_pid/metrics/official_example2_enhanced_pid.json,50,0.487385,3.0056,0.190195,6.89,0.259614,2.39,6.22223,37305.5,30076.8,,519,47.7931,,,official_example2_pid_baseline,-0.0414077,-0.0895386,MWORKS_MCP,real_sysplorer_mcp_full_enhanced_pid,
